targetSpeed,actualSpeeds,actualTimes,speedFrac
0;0;0;0;0;0,0;0;0;0;0;0,1,1
-0.980387;-1.5821;-1.83289;-1.63976;1.50359;-0.185426,0;0;0;0;0;0,0.0199653,1
-0.980387;-1.5821;-1.83289;-1.63976;1.50359;-0.185426,0;0;0;0;0;0,0.0279654,1
-0.980387;-1.5821;-1.83289;-1.63976;1.50359;-0.185426,0;0;0;0;0;0,0.0359655,1
-0.980387;-1.5821;-1.83289;-1.63976;1.50359;-0.185426,0;0;0;0;0;0,0.0439656,1
-0.98057;-1.58189;-1.83337;-1.63938;1.50379;-0.185448,-0.0457293;0.0530166;-0.12;0.0945978;0.0520525;-0.00555803,0.0519661,1
-0.980752;-1.58168;-1.83385;-1.63901;1.504;-0.18547,-0.000843759;0.00115828;-0.00253929;0.000901155;0.000812743;-7.73126e-05,0.0599662,1
-0.980766;-1.58166;-1.83389;-1.63899;1.50401;-0.185471,-0.00174353;0.00239109;-0.0052429;0.00187319;0.00168138;-0.000160088,0.0679663,1
-0.980766;-1.58166;-1.83389;-1.63899;1.50401;-0.185471,-0.00174353;0.00239109;-0.0052429;0.00187319;0.00168138;-0.000160088,0.0759663,1
-0.980785;-1.58164;-1.83394;-1.63897;1.50403;-0.185473,-0.00230977;0.00316605;-0.00694275;0.00248896;0.00222873;-0.000212301,0.0839664,1
-0.980808;-1.5816;-1.83401;-1.63895;1.50405;-0.185475,-0.00295182;0.00404406;-0.00886892;0.00319041;0.00284992;-0.000271601,0.0919665,1
-0.980808;-1.5816;-1.83401;-1.63895;1.50405;-0.185475,-0.00295182;0.00404406;-0.00886892;0.00319041;0.00284992;-0.000271601,0.100023,1
-0.980844;-1.58155;-1.83412;-1.63891;1.50409;-0.185479,-0.00445832;0.00610173;-0.013384;0.00484812;0.00430957;-0.000411097,0.108042,1
-0.980886;-1.5815;-1.83425;-1.63886;1.50413;-0.185482,-0.00532023;0.00727754;-0.0159646;0.00580323;0.00514584;-0.000491106,0.116042,1
-0.980936;-1.58143;-1.8344;-1.63881;1.50418;-0.185487,-0.00625286;0.00854878;-0.018755;0.00684174;0.00605162;-0.000577831,0.124042,1
-0.980936;-1.58143;-1.8344;-1.63881;1.50418;-0.185487,-0.00625286;0.00854878;-0.018755;0.00684174;0.00605162;-0.000577831,0.132042,1
-0.981002;-1.58134;-1.8346;-1.63874;1.50424;-0.185493,-0.0083357;0.0113841;-0.0249801;0.00917844;0.00807751;-0.000772032,0.140042,1
-0.981078;-1.58123;-1.83482;-1.63865;1.50432;-0.1855,-0.0094735;0.0129309;-0.028377;0.0104644;0.00918587;-0.000878404,0.148046,1
-0.981173;-1.58111;-1.83511;-1.63855;1.50441;-0.185509,-0.0119447;0.0162858;-0.0357465;0.0132791;0.0115969;-0.00111008,0.156046,1
-0.981279;-1.58096;-1.83543;-1.63843;1.50451;-0.185519,-0.0132755;0.0180901;-0.0397107;0.0148066;0.0128974;-0.00123519,0.164046,1
-0.981396;-1.5808;-1.83578;-1.6383;1.50463;-0.18553,-0.0146686;0.019977;-0.0438573;0.0164141;0.0142602;-0.00136642,0.172046,1
-0.981525;-1.58063;-1.83616;-1.63815;1.50475;-0.185541,-0.0161218;0.0219433;-0.048179;0.0180997;0.0156833;-0.00150356,0.180046,1
-0.981666;-1.58043;-1.83658;-1.63799;1.50489;-0.185555,-0.0176342;0.0239878;-0.0526733;0.0198636;0.0171661;-0.00164658,0.188046,1
-0.981819;-1.58023;-1.83704;-1.63782;1.50504;-0.185569,-0.0192045;0.0261084;-0.0573359;0.0217051;0.0187074;-0.00179538,0.196046,1
-0.981985;-1.58;-1.83754;-1.63763;1.5052;-0.185585,-0.0208315;0.0283033;-0.0621627;0.0236235;0.0203063;-0.00194987,0.204046,1
-0.982165;-1.57976;-1.83807;-1.63743;1.50537;-0.185602,-0.0225139;0.0305706;-0.0671496;0.0256185;0.0219615;-0.00210995,0.212046,1
-0.982165;-1.57976;-1.83807;-1.63743;1.50537;-0.185602,-0.0225139;0.0305706;-0.0671496;0.0256185;0.0219615;-0.00210995,0.22005,1
-0.982359;-1.57949;-1.83865;-1.63721;1.50556;-0.18562,-0.0242504;0.0329083;-0.0722925;0.0276893;0.023672;-0.00227553,0.22805,1
-0.982567;-1.57921;-1.83927;-1.63697;1.50577;-0.185639,-0.0260398;0.0353146;-0.0775871;0.0298355;0.0254367;-0.00244651,0.23605,1
-0.982804;-1.57889;-1.83997;-1.6367;1.506;-0.185662,-0.029773;0.0403263;-0.0886179;0.0343525;0.0291253;-0.00280442,0.24405,1
-0.983057;-1.57855;-1.84073;-1.6364;1.50625;-0.185685,-0.0317133;0.0429266;-0.0943431;0.0367211;0.0310461;-0.00299106,0.25205,1
-0.983326;-1.57818;-1.84153;-1.63609;1.50651;-0.185711,-0.0337013;0.0455878;-0.100203;0.0391626;0.0330167;-0.00318274,0.26005,1
-0.983612;-1.5778;-1.84238;-1.63576;1.50679;-0.185738,-0.0357358;0.0483079;-0.106195;0.0416766;0.0350361;-0.00337935,0.26805,1
-0.983914;-1.57739;-1.84327;-1.6354;1.50709;-0.185767,-0.0378154;0.051085;-0.112313;0.0442625;0.0371031;-0.00358081,0.27605,1
-0.984233;-1.57696;-1.84422;-1.63503;1.5074;-0.185797,-0.039939;0.0539173;-0.118554;0.0469195;0.0392167;-0.00378703,0.28405,1
-0.984569;-1.5765;-1.84522;-1.63463;1.50773;-0.185829,-0.0421053;0.0568027;-0.124914;0.0496473;0.0413758;-0.0039979,0.29205,1
-0.984924;-1.57603;-1.84627;-1.63421;1.50808;-0.185862,-0.0443129;0.0597393;-0.131388;0.0524452;0.0435792;-0.00421333,0.30005,1
-0.985296;-1.57553;-1.84737;-1.63377;1.50844;-0.185898,-0.0465606;0.0627252;-0.137973;0.0553126;0.0458259;-0.00443324,0.30805,1
-0.985296;-1.57553;-1.84737;-1.63377;1.50844;-0.185898,-0.0465606;0.0627252;-0.137973;0.0553126;0.0458259;-0.00443324,0.316051,1
-0.985686;-1.575;-1.84853;-1.6333;1.50883;-0.185935,-0.048847;0.0657586;-0.144664;0.0582489;0.0481148;-0.00465752,0.324051,1
-0.986095;-1.57445;-1.84974;-1.63282;1.50923;-0.185974,-0.051171;0.0688374;-0.151457;0.0612536;0.0504448;-0.00488609,0.332051,1
-0.986522;-1.57388;-1.851;-1.6323;1.50965;-0.186015,-0.0535313;0.0719598;-0.158347;0.064326;0.0528148;-0.00511885,0.340051,1
-0.986987;-1.57325;-1.85237;-1.63174;1.51011;-0.186059,-0.0583555;0.0783277;-0.172406;0.0706721;0.0576705;-0.00559657,0.348051,1
-0.987473;-1.5726;-1.85381;-1.63115;1.51059;-0.186106,-0.0608169;0.0815693;-0.179566;0.0739445;0.0601539;-0.00584134,0.356051,1
-0.987979;-1.57192;-1.8553;-1.63053;1.51109;-0.186155,-0.0633094;0.0848468;-0.186807;0.0772823;0.062673;-0.00608993,0.364051,1
-0.988505;-1.57122;-1.85685;-1.62989;1.51162;-0.186205,-0.0658317;0.0881582;-0.194125;0.080685;0.0652266;-0.00634224,0.372051,1
-0.989051;-1.57049;-1.85846;-1.62921;1.51216;-0.186258,-0.0683827;0.0915017;-0.201516;0.0841521;0.0678137;-0.00659818,0.380051,1
-0.989618;-1.56973;-1.86013;-1.62851;1.51272;-0.186313,-0.070961;0.0948754;-0.208976;0.0876829;0.0704332;-0.00685766,0.388051,1
-0.990206;-1.56894;-1.86186;-1.62778;1.5133;-0.18637,-0.0735654;0.0982772;-0.216501;0.0912769;0.0730839;-0.00712058,0.396051,1
-0.990206;-1.56894;-1.86186;-1.62778;1.5133;-0.18637,-0.0735654;0.0982772;-0.216501;0.0912769;0.0730839;-0.00712058,0.404051,1
-0.990815;-1.56813;-1.86365;-1.62703;1.51391;-0.186429,-0.0761945;0.101705;-0.224086;0.0949335;0.0757648;-0.00738685,0.412051,1
-0.991445;-1.56729;-1.86551;-1.62624;1.51454;-0.18649,-0.0788471;0.105158;-0.231728;0.0986521;0.0784748;-0.00765638,0.420051,1
-0.992116;-1.5664;-1.86748;-1.62539;1.51521;-0.186555,-0.0842176;0.112128;-0.247165;0.106273;0.0839777;-0.00820483,0.428051,1
-0.992811;-1.56547;-1.86951;-1.62451;1.5159;-0.186623,-0.086933;0.115642;-0.254951;0.110174;0.0867684;-0.00848356,0.436051,1
-0.993527;-1.56452;-1.87161;-1.6236;1.51662;-0.186693,-0.0896667;0.119173;-0.262778;0.114135;0.0895837;-0.00876517,0.444051,1
-0.994266;-1.56354;-1.87378;-1.62265;1.51735;-0.186765,-0.0924176;0.122719;-0.27064;0.118155;0.0924227;-0.00904958,0.452051,1
-0.995027;-1.56253;-1.876;-1.62168;1.51812;-0.18684,-0.0951843;0.126277;-0.278533;0.122233;0.0952843;-0.00933667,0.460052,1
-0.99581;-1.56149;-1.87829;-1.62067;1.5189;-0.186917,-0.0979656;0.129846;-0.286454;0.12637;0.0981673;-0.00962638,0.468052,1
-0.996615;-1.56043;-1.88065;-1.61962;1.51971;-0.186996,-0.10076;0.133425;-0.294399;0.130564;0.101071;-0.00991858,0.476052,1
-0.996615;-1.56043;-1.88065;-1.61962;1.51971;-0.186996,-0.10076;0.133425;-0.294399;0.130564;0.101071;-0.00991858,0.484061,1
-0.997443;-1.55933;-1.88306;-1.61855;1.52054;-0.187078,-0.103567;0.13701;-0.302362;0.134814;0.103993;-0.0102132,0.492061,1
-0.998293;-1.55821;-1.88554;-1.61744;1.52139;-0.187162,-0.106384;0.140601;-0.310341;0.139121;0.106934;-0.0105101,0.500062,1
-0.999166;-1.55705;-1.88809;-1.61629;1.52227;-0.187249,-0.109211;0.144194;-0.31833;0.143484;0.109892;-0.0108093,0.508062,1
-1.00008;-1.55585;-1.89075;-1.61507;1.5232;-0.18734,-0.114891;0.151389;-0.334335;0.152379;0.115858;-0.0114143,0.516062,1
-1.00102;-1.55461;-1.89349;-1.61382;1.52415;-0.187433,-0.117738;0.154981;-0.342333;0.156905;0.11886;-0.0117197,0.524062,1
-1.00199;-1.55334;-1.89629;-1.61253;1.52512;-0.187529,-0.12059;0.158569;-0.350325;0.161485;0.121876;-0.0120268,0.532062,1
-1.00199;-1.55334;-1.89629;-1.61253;1.52512;-0.187529,-0.12059;0.158569;-0.350325;0.161485;0.121876;-0.0120268,0.540062,1
-1.00297;-1.55204;-1.89915;-1.6112;1.52612;-0.187628,-0.123445;0.16215;-0.358306;0.166117;0.124902;-0.0123357,0.548063,1
-1.00398;-1.55072;-1.90208;-1.60984;1.52714;-0.187729,-0.126301;0.165723;-0.366274;0.170801;0.12794;-0.0126463,0.556063,1
-1.00504;-1.54934;-1.90513;-1.6084;1.52821;-0.187835,-0.132015;0.172836;-0.382151;0.180324;0.134041;-0.0132721,0.564063,1
