targetSpeed,actualSpeeds,actualTimes,speedFrac
0;0;0;0;0;0,0;0;0;0;0;0,0,1
-0.000282845;0.000388635;-0.000851867;0.000300412;0.000272155;-2.58667e-05,0;0;0;0;0;0,0.020723,1
-0.000540638;0.00074249;-0.00162764;0.000575887;0.000520498;-4.94923e-05,0;0;0;0;0;0,0.028723,1
-0.000879258;0.00120695;-0.00264602;0.000939331;0.000846983;-8.05731e-05,0;0;0;0;0;0,0.0367231,1
-0.00129743;0.0017801;-0.00390288;0.00139016;0.00125052;-0.000119016,-4.2491e-05;5.84274e-05;-0.000128053;4.49238e-05;4.0849e-05;-3.87972e-06,0.0447232,1
-0.00179387;0.00246;-0.00539405;0.0019278;0.00173001;-0.000164726,-0.000879255;0.00120695;-0.00264601;0.000939327;0.00084698;-8.05728e-05,0.0527232,1
-0.00236731;0.00324476;-0.00711541;0.00255168;0.00228437;-0.000217611,-0.00129742;0.00178009;-0.00390286;0.00139016;0.00125051;-0.000119015,0.0607233,1
-0.00301646;0.00413243;-0.00906279;0.00326121;0.0029125;-0.000277577,-0.00179386;0.00246;-0.00539404;0.0019278;0.00173001;-0.000164726,0.0687233,1
-0.00374005;0.0051211;-0.011232;0.00405581;0.0036133;-0.00034453,-0.0023673;0.00324475;-0.00711539;0.00255167;0.00228436;-0.00021761,0.0767233,1
-0.00453681;0.00620885;-0.0136191;0.00493491;0.00438569;-0.000418377,-0.00301646;0.00413242;-0.00906278;0.00326121;0.00291249;-0.000277577,0.0847233,1
-0.00540547;0.00739378;-0.0162197;0.00589794;0.00522859;-0.000499026,-0.00374005;0.0051211;-0.011232;0.00405581;0.0036133;-0.00034453,0.0927234,1
-0.00634473;0.00867394;-0.0190298;0.00694431;0.00614089;-0.000586381,-0.00374005;0.0051211;-0.011232;0.00405581;0.0036133;-0.00034453,0.100723,1
-0.00735333;0.0100474;-0.0220451;0.00807344;0.00712149;-0.00068035,-0.00453681;0.00620885;-0.013619;0.00493491;0.00438569;-0.000418377,0.108724,1
-0.00842999;0.0115123;-0.0252617;0.00928476;0.00816932;-0.000780839,-0.00540546;0.00739376;-0.0162196;0.00589793;0.00522858;-0.000499025,0.116724,1
-0.00957344;0.0130667;-0.0286753;0.0105777;0.00928328;-0.000887756,-0.00735333;0.0100474;-0.0220451;0.00807344;0.00712149;-0.00068035,0.124724,1
-0.0107824;0.0147086;-0.0322817;0.0119517;0.0104623;-0.001001,-0.00842999;0.0115123;-0.0252617;0.00928476;0.00816931;-0.000780839,0.132724,1
-0.0120556;0.0164362;-0.0360769;0.0134061;0.0117052;-0.00112049,-0.00957343;0.0130667;-0.0286752;0.0105777;0.00928327;-0.000887755,0.140724,1
-0.0133917;0.0182475;-0.0400567;0.0149404;0.013011;-0.00124613,-0.0107824;0.0147086;-0.0322817;0.0119516;0.0104623;-0.001001,0.148724,1
-0.0147895;0.0201407;-0.0442169;0.016554;0.0143785;-0.00137782,-0.0120556;0.0164362;-0.0360769;0.0134061;0.0117052;-0.00112049,0.156724,1
-0.0162477;0.0221137;-0.0485535;0.0182463;0.0158067;-0.00151546,-0.0133917;0.0182475;-0.0400566;0.0149403;0.013011;-0.00124613,0.164724,1
-0.0177659;0.0241657;-0.0530645;0.0200176;0.0172953;-0.00165905,-0.0147895;0.0201406;-0.0442169;0.0165539;0.0143785;-0.00137781,0.172728,1
-0.0193411;0.0262927;-0.0577413;0.0218657;0.0188416;-0.00180834,-0.0147895;0.0201406;-0.0442169;0.0165539;0.0143785;-0.00137781,0.180728,1
-0.0209729;0.0284939;-0.0625819;0.0237907;0.0204453;-0.00196331,-0.0162477;0.0221136;-0.0485534;0.0182463;0.0158067;-0.00151546,0.188728,1
-0.0226599;0.0307673;-0.0675823;0.0257922;0.0221052;-0.00212386,-0.0177651;0.0241646;-0.0530621;0.0200167;0.0172945;-0.00165898,0.196728,1
-0.024401;0.033111;-0.0727383;0.0278695;0.0238204;-0.0022899,-0.0193411;0.0262927;-0.0577412;0.0218657;0.0188416;-0.00180834,0.204728,1
-0.0261949;0.035523;-0.0780457;0.030022;0.0255897;-0.00246135,-0.0226599;0.0307673;-0.0675823;0.0257922;0.0221052;-0.00212386,0.212729,1
-0.0280402;0.0380015;-0.0835004;0.0322492;0.027412;-0.00263809,-0.024401;0.0331109;-0.0727382;0.0278695;0.0238204;-0.0022899,0.220729,1
-0.0299361;0.040545;-0.0890995;0.0345511;0.0292867;-0.00282009,-0.0261949;0.035523;-0.0780456;0.030022;0.0255897;-0.00246134,0.228731,1
-0.0318805;0.0431506;-0.0948364;0.0369259;0.0312118;-0.00300717,-0.0280402;0.0380014;-0.0835003;0.0322492;0.027412;-0.00263809,0.236731,1
-0.0338726;0.0458169;-0.100708;0.0393737;0.0331866;-0.00319927,-0.0299356;0.0405444;-0.0890981;0.0345505;0.0292863;-0.00282005,0.244731,1
-0.035911;0.048542;-0.106711;0.0418938;0.0352101;-0.0033963,-0.0318805;0.0431506;-0.0948363;0.0369259;0.0312118;-0.00300717,0.252731,1
-0.0379944;0.0513239;-0.112839;0.0444858;0.0372812;-0.00359817,-0.0338725;0.0458169;-0.100708;0.0393737;0.0331866;-0.00319927,0.260731,1
-0.0401217;0.0541607;-0.119091;0.0471489;0.0393987;-0.00380479,-0.0359109;0.048542;-0.10671;0.0418938;0.0352101;-0.0033963,0.268731,1
-0.0422915;0.0570505;-0.125461;0.0498826;0.0415615;-0.00401605,-0.0359109;0.048542;-0.10671;0.0418938;0.0352101;-0.0033963,0.276731,1
-0.0445025;0.0599914;-0.131944;0.0526864;0.0437687;-0.00423187,-0.0379944;0.0513239;-0.112839;0.0444857;0.0372811;-0.00359817,0.284731,1
-0.0467536;0.0629815;-0.138538;0.0555597;0.046019;-0.00445215,-0.0401217;0.0541607;-0.119091;0.0471489;0.0393986;-0.00380478,0.292731,1
-0.0490433;0.0660188;-0.145238;0.0585019;0.0483115;-0.0046768,-0.0445025;0.0599914;-0.131944;0.0526864;0.0437687;-0.00423187,0.300731,1
-0.0513705;0.0691014;-0.152039;0.0615124;0.0506449;-0.00490573,-0.0467536;0.0629814;-0.138538;0.0555597;0.046019;-0.00445215,0.308731,1
-0.0537338;0.0722275;-0.158938;0.0645906;0.0530183;-0.00513885,-0.0490433;0.0660188;-0.145238;0.0585018;0.0483114;-0.0046768,0.316731,1
-0.0561319;0.075395;-0.16593;0.067736;0.0554305;-0.00537605,-0.0513704;0.0691014;-0.152039;0.0615123;0.0506449;-0.00490573,0.324731,1
-0.0585637;0.0786021;-0.173012;0.070948;0.0578804;-0.00561725,-0.0537338;0.0722275;-0.158938;0.0645906;0.0530183;-0.00513885,0.332731,1
-0.0610278;0.0818468;-0.180179;0.0742259;0.0603669;-0.00586235,-0.0561319;0.075395;-0.16593;0.067736;0.0554305;-0.00537605,0.340731,1
-0.0635229;0.0851273;-0.187426;0.0775694;0.062889;-0.00611126,-0.0585637;0.0786021;-0.173012;0.0709479;0.0578803;-0.00561724,0.348731,1
-0.0660478;0.0884416;-0.194751;0.0809776;0.0654455;-0.00636388,-0.0610278;0.0818468;-0.180179;0.0742259;0.0603669;-0.00586235,0.356732,1
-0.0686011;0.0917877;-0.202148;0.0844501;0.0680354;-0.00662013,-0.0635229;0.0851273;-0.187426;0.0775693;0.062889;-0.00611125,0.364732,1
-0.0711816;0.0951638;-0.209614;0.0879863;0.0706576;-0.0068799,-0.0635229;0.0851273;-0.187426;0.0775693;0.062889;-0.00611125,0.372732,1
-0.0737881;0.0985679;-0.217144;0.0915856;0.0733109;-0.00714311,-0.0660477;0.0884415;-0.194751;0.0809776;0.0654455;-0.00636388,0.380732,1
-0.0764192;0.101998;-0.224734;0.0952475;0.0759943;-0.00740966,-0.0686011;0.0917877;-0.202148;0.0844501;0.0680354;-0.00662013,0.388732,1
-0.0790738;0.105453;-0.232381;0.0989713;0.0787067;-0.00767946,-0.0737881;0.0985679;-0.217144;0.0915856;0.0733109;-0.00714311,0.396732,1
-0.0817504;0.108929;-0.240079;0.102756;0.081447;-0.00795241,-0.0764192;0.101998;-0.224734;0.0952475;0.0759943;-0.00740966,0.404732,1
-0.0844479;0.112427;-0.247826;0.106603;0.0842141;-0.00822843,-0.0790737;0.105453;-0.232381;0.0989713;0.0787067;-0.00767945,0.412732,1
-0.0871657;0.115943;-0.255618;0.11051;0.0870078;-0.00850749,-0.0817504;0.108929;-0.240079;0.102756;0.081447;-0.00795241,0.420734,1
-0.089901;0.119475;-0.263448;0.114476;0.0898253;-0.00878935,-0.0844478;0.112427;-0.247825;0.106602;0.0842141;-0.00822842,0.428734,1
